Amount Debited,Source / Destination,Date
20.35,PIZZA NOVA 065,2021/12/09
77.97,SQ JOURNEYS CUISINE INC,2021/12/10
11.3,0883 HOLIDAY PHOTO,2021/12/11
24.15,HARVEYS 0002353 QPS,2021/12/11
211.66,OLD NAVY CA 5462,2021/12/11
47.59,ESSO CIRCLE K,2021/12/11
40.84,TOYS R US 3575,2021/12/11
49.57,WALMART STORE 3054,2021/12/11
52.83,HUDSONS BAY 1523,2021/12/11
83.2,RCSS 1080,2021/12/14
25.96,CDN TIRE STORE 00169,2021/12/18
46.55,CDN TIRE GASBAR 01311,2021/12/18
80.47,WALMART STORE 3054,2021/12/18
47.83,RCSS 1080,2021/12/18
2.26,DOLLARAMA  840,2021/12/18
13.55,CDN TIRE STORE 00169,2021/12/20
10.15,WENDYS,2021/12/21
12.81,WALMART STORE 3054,2021/12/23
12.41,METRO 854,2021/12/24
14.35,THE BEER STORE 2011,2021/12/24
49.12,CDN TIRE GASBAR 01311,2021/12/25
7.33,RABBA MARKET EXPRESS DERR,2021/12/26
28.24,SHOPPERS DRUG MART 07,2021/12/26
89.35,RCSS 1080,2021/12/28
22.88,METRO 854,2021/12/28
77.97,SQ JOURNEYS CUISINE INC,2021/12/29
3.87,TIM HORTONS 1713,2021/12/29
20.0,7ELEVEN 33000,2022/01/01
3.59,METRO 854,2022/01/02
7.1,REXALL PHARMACY 2100,2022/01/02
86.27,RCSS 1080,2022/01/02
59.26,LISGAR WOODS PHARMACY,2022/01/03
62.34,RCSS 1080,2022/01/05
277.84,MEADOWVALE HONDA,2022/01/08
66.76,RCSS 1080,2022/01/08
6.97,WALMART STORE 3054,2022/01/08
35.36,ESSO CIRCLE K,2022/01/08
4.18,METRO  854,2022/01/11
176.73,RCSS 1080,2022/01/12
5.74,TIM HORTONS 2562,2022/01/14
10.61,WENDYS,2022/01/14
51.1,ESSO CIRCLE K,2022/01/20
131.6,RCSS 1080,2022/01/22
11.03,METRO  854,2022/01/22
16.42,PIZZA NOVA 065,2022/01/27
40.0,ESSO CIRCLE K,2022/01/28
2.99,METRO  854,2022/01/30
68.77,RCSS 1080,2022/01/30
62.89,ESSO CIRCLE K,2022/02/03
6.98,METRO  854,2022/02/05
11.72,TIM HORTONS 1713,2022/02/05
120.38,RCSS 1080,2022/02/05
29.22,METRO  854,2022/02/07
47.53,ESSO CIRCLE K,2022/02/09
12.4,CLORE BEAUTY SUPPLY,2022/02/12
63.09,RCSS 1080,2022/02/12
25.96,PITABOSS,2022/02/12
27.43,ESSO CIRCLE K,2022/02/12
5.98,METRO  728,2022/02/12
8.86,METRO  854,2022/02/12
13.51,I HEART BOBA,2022/02/12
13.0,PRESTO DOWNSV PARK STN,2022/02/15
16.42,PIZZA NOVA 065,2022/02/16
57.26,RCSS 1080,2022/02/17
40.84,METRO  854,2022/02/17
6.5,PRESTO DOWNSV PARK STN,2022/02/18
22.5,WALMART STORE 1139,2022/02/18
11.3,WALMART STORE 3054,2022/02/19
1.35,TIM HORTONS 1976,2022/02/19
66.44,RCSS 1080,2022/02/19
32.24,WALMART STORE 1212,2022/02/19
46.25,ESSO CIRCLE K,2022/02/19
18.78,METRO  854,2022/02/23
4.05,DERRY CONVENIENCE,2022/02/23
101.42,RCSS 1080,2022/02/24
34.92,METRO  854,2022/02/26
4.99,METRO  854,2022/02/27
83.79,RCSS 1080,2022/02/27
53.3,ESSO CIRCLE K,2022/03/02
61.18,RCSS 1080,2022/03/05
80.37,KID TO KID,2022/03/05
56.27,ESSO CIRCLE K,2022/03/07
29.96,PIZZA NOVA 065,2022/03/09
350.36,MEADOWVALE HONDA,2022/03/09
135.88,RCSS 1080,2022/03/10
2.99,METRO  854,2022/03/10
18.46,MCDONALDS 29005  QPS,2022/03/10
48.58,TOYS R US 3575,2022/03/11
44.36,DANFORTH FOOD MARKET,2022/03/12
16.94,CLORE BEAUTY SUPPLY,2022/03/12
22.59,TOYS R US 3575,2022/03/12
54.02,ESSO CIRCLE K,2022/03/15
45.19,CDN TIRE STORE 00169,2022/03/15
74.85,WALMART STORE 3054,2022/03/16
9.03,OSMOWS,2022/03/16
19.36,PIZZA NOVA 065,2022/03/16
42.79,RCSS 1080,2022/03/17
118.46,RCSS 1080,2022/03/20
3.59,METRO  854,2022/03/20
40.0,ESSO CIRCLE K,2022/03/24
39.43,RCSS 1080,2022/03/24
46.53,WALMART STORE 3054,2022/03/26
22.43,KID TO KID,2022/03/26
7.9,OLD NAVY CA 5462,2022/03/26
61.35,DANFORTH FOOD MARKET,2022/03/26
6.77,CLORE BEAUTY SUPPLY,2022/03/26
56.6,ESSO CIRCLE K,2022/03/29
112.77,WALMART STORE 1139,2022/03/31
57.63,SQ JOURNEYS CUISINE INC,2022/04/01
20.18,METRO  854,2022/04/01
14.09,TIM HORTONS 1713,2022/04/01
32.5,KID TO KID,2022/04/02
37.84,RCSS 1080,2022/04/03
19.36,PIZZA NOVA 065,2022/04/04
16.0,PPL CREDIT VALLEY HOSP,2022/04/06
8.5,DERRY CONVENIENCE,2022/04/06
11.48,TIM HORTONS 2891,2022/04/06
24.22,Subway 36139,2022/04/07
28.65,TIM HORTONS 2891,2022/04/07
13.53,HARVEYS 0002353 QPS,2022/04/08
10.0,SODASNACK VENDING CANSD,2022/04/08
3.99,METRO  854,2022/04/08
18.05,HAKKA LEGEND ASIAN CUI,2022/04/08
13.72,SECOND CUP  9506,2022/04/08
38.0,THP  CREDIT VALLEY HO,2022/04/08
11.04,TIM HORTONS 2891,2022/04/08
387.72,WALMART STORE 3054,2022/04/09
17.72,SHOPPERS DRUG MART 0779,2022/04/09
16.0,THP  CREDIT VALLEY HO,2022/04/09
5.93,YOUR DOLLAR STORE WITH MO,2022/04/09
61.86,ESSO CIRCLE K,2022/04/11
167.77,RCSS 1080,2022/04/11
5.0,AUTO SPA  MISSISSAUGA,2022/04/11
84.71,RCSS 1080,2022/04/12
8.29,RCSS 1080,2022/04/13
60.989999999999995,SWISS CHALET 1109,2022/04/16
34.79,METRO  728,2022/04/16
44.16,RCSS 1080,2022/04/16
62.54,METRO  854,2022/04/18
33.46,ESSO CIRCLE K,2022/04/19
64.92,WALMART STORE 3054,2022/04/19
9.04,METRO  854,2022/04/19
45.74,RCSS 1080,2022/04/20
6.78,DOLLARAMA  840,2022/04/21
17.88,BULK BARN 545 MISSISSA,2022/04/21
16.93,SALLY BEAUTY 5547,2022/04/21
10.7,Subway 15423,2022/04/21
50.4,3402  CARTERSOSHKOSH,2022/04/21
29.37,REXALL PHARMACY 2100,2022/04/22
29.42,METRO  728,2022/04/22
41.95,KID TO KID,2022/04/24
93.24,RCSS 1080,2022/04/25
13.55,REXALL PHARMACY 2100,2022/04/26
7.86,HUDSONS BAY 1523,2022/04/26
16.68,BULK BARN 545 MISSISSA,2022/04/26
4.52,DOLLARAMA  840,2022/04/26
15.1,WALMART STORE 3054,2022/04/26
38.57,METRO  854,2022/04/26
60.44,WALMART STORE 3054,2022/04/27
18.08,LOBLAW 1011,2022/04/28
28.95,METRO  854,2022/04/29
400.0,SPEEDY GLASS 8043,2022/05/02
26.21,UBER CANADA,2022/05/02
14.68,REXALL PHARMACY 2100,2022/05/03
92.06,RCSS 1080,2022/05/03
22.57,BULK BARN 545 MISSISSA,2022/05/03
12.37,METRO  854,2022/05/03
16.94,CLORE BEAUTY SUPPLY,2022/05/06
204.72,RCSS 1080,2022/05/08
18.04,METRO  854,2022/05/10
195.44,LOBLAW 1011,2022/05/11
26.78,METRO  854,2022/05/11
62.62,RCSS 1080,2022/05/13
22.48,BULK BARN 545 MISSISSA,2022/05/13
2.59,HUSKY AIMCO 4882,2022/05/14
22.69,METRO  854,2022/05/17
18.07,REXALL PHARMACY 2100,2022/05/18
19.42,RCSS 1080,2022/05/18
22.59,WINNERSHOMESENSE 361158,2022/05/20
11.3,DOLLARAMA  840,2022/05/20
60.02,ESSO CIRCLE K,2022/05/20
122.5,RCSS 1080,2022/05/20
39.53,REXALL PHARMACY 2100,2022/05/21
20.0,RCSS 1080,2022/05/22
40.68,BATH AND BODY WORKS ,2022/05/22
13.95,METRO  854,2022/05/22
25.0,RCSS 1080,2022/05/25
12.7,METRO  854,2022/05/26
12.4,BULK BARN 476 MISSISS,2022/05/26
10.39,Subway 13326,2022/05/26
11.28,WALMART STORE 3054,2022/05/26
36.13,HUDSONS BAY 1523,2022/05/26
11.27,WALMART STORE 3054,2022/05/27
195.46,RCSS 1080,2022/05/27
22.59,CDN TIRE STORE 00169,2022/05/27
5.65,METRO  854,2022/05/27
18.07,823 PARTY CITY,2022/05/27
1.13,DOLLARAMA  840,2022/05/28
11.24,CHARLIES WEST,2022/05/28
33.26,MASTERMIND HURONTARIO,2022/05/28
36.18,WALMART STORE 3054,2022/05/28
69.41,ESSO CIRCLE K,2022/05/29
29.81,LOBLAW 1011,2022/05/29
12.98,BK 15365,2022/05/30
9.03,OSMOWS,2022/05/31
16.42,PIZZA NOVA 065,2022/05/31
10.83,BULK BARN 545 MISSISSA,2022/05/31
44.94,KID TO KID,2022/05/31
7.0,TIM HORTONS 3253,2022/06/01
21.55,RCSS 1080,2022/06/01
56.49,SHOE COMPANY  287,2022/06/02
56.49,DSW 502,2022/06/02
33.81,METRO  854,2022/06/03
102.29,RCSS 1080,2022/06/03
10.37,BASKIN ROBBINS  340517 ,2022/06/04
143.21,RCSS 1080,2022/06/06
69.79,ESSO CIRCLE K,2022/06/07
16.79,METRO  854,2022/06/07
14.13,RCSS 1080,2022/06/07
45.19,TOYS R US 3575,2022/06/10
3.66,METRO  854,2022/06/10
17.29,KID TO KID,2022/06/11
22.37,BATH AND BODY WORKS 6,2022/06/11
13.55,BK 15365,2022/06/11
80.0,TOYS R US 3575,2022/06/12
8.45,TIM HORTONS 3253,2022/06/13
10.129999999999999,TIM HORTONS 3253,2022/06/15
63.32,METRO  854,2022/06/16
16.68,RCSS 1080,2022/06/17
15.81,SHOPPERS DRUG MART 0779,2022/06/17
15.04,METRO  854,2022/06/17
66.09,ESSO CIRCLE K,2022/06/18
45.19,180 MARKS,2022/06/19
5.85,METRO  854,2022/06/19
5.65,TORONTO DON VALLEY HOTEL,2022/06/20
36.03,NOFRILLS TOMMICHELLE,2022/06/24
60.65,RCSS 1080,2022/06/24
15.94,BULK BARN 545 MISSISSA,2022/06/24
53.52,KID TO KID,2022/06/25
19.14,WALMART STORE 3054,2022/06/25
21.720000000000002,PIZZA NOVA 065,2022/06/27
161.88,RCSS 1080,2022/06/27
7.11,Subway 55747,2022/06/27
35.0,ESSO CIRCLE K,2022/06/28
16.0,TORONTO PARKING AUTHOR,2022/06/28
27.6,WALMART STORE 3054,2022/06/30
93.27,RCSS 1080,2022/06/30
22.34,METRO  854,2022/06/30
52.09,ESSO CIRCLE K,2022/07/02
3.13,TIM HORTONS 2536,2022/07/02
45.43,BIG SMOKE BURGER NIAGA,2022/07/02
5.65,TORONTO DON VALLEY HOTEL,2022/07/05
30.49,RCSS 1080,2022/07/05
35.43,METRO  854,2022/07/05
7.49,METRO  854,2022/07/06
3.76,TIM HORTONS 3253,2022/07/07
27.27,RCSS 1080,2022/07/07
60.81,ESSO CIRCLE K,2022/07/07
5.05,METRO  854,2022/07/09
18.7,METRO  854,2022/07/11
49.15,RCSS 1080,2022/07/14
10.82,TIM HORTONS 3335,2022/07/15
41.55,METRO  854,2022/07/15
14.01,I HEART BOBA,2022/07/16
2.14,SALLY BEAUTY 5547,2022/07/16
183.44,RCSS 1080,2022/07/16
48.99,ESSO CIRCLE K,2022/07/16
39.54,STAPLES227,2022/07/16
139.44,LOBLAW 1011,2022/07/18
39.54,MARSHALLS 661,2022/07/19
122.0,OLD NAVY CA 5462,2022/07/19
11.86,Subway 13326,2022/07/19
42.38,BIG SMOKE BURGER,2022/07/24
15.0,SQ FAB FACES BY FIONNA,2022/07/24
28.24,WINNERSHOMESENSE 361158,2022/07/25
39.86,ESSO CIRCLE K,2022/07/25
23.94,SHOPPERS DRUG MART 0779,2022/07/25
25.06,WALMART STORE 3054,2022/07/25
20.32,METRO  854,2022/07/26
56.48,HUDSONS BAY 1523,2022/07/27
33.56,KID TO KID,2022/07/27
27.53,METRO  854,2022/07/29
33.29,PITABOSS,2022/07/30
49.69,RCSS 1080,2022/08/01
16.66,METRO  854,2022/08/02
80.83,RCSS 1080,2022/08/03
21.67,METRO  854,2022/08/05
15.0,SQ MJ CATERING,2022/08/06
20.75,SQ ONTARIO CORN ROASTERS,2022/08/06
10.0,TICKETPRO 8889050070,2022/08/06
14.69,Funnel Cake Express,2022/08/07
15.39,METRO  854,2022/08/07
47.63,ESSO CIRCLE K,2022/08/07
66.39,RCSS 1080,2022/08/09
17.22,DOLLARAMA  840,2022/08/09
9.23,RCSS 1080,2022/08/11
6.5,TORONTO DON VALLEY HOTEL,2022/08/11
6.98,TIM HORTONS 3253,2022/08/11
36.2,METRO  854,2022/08/12
21.0,SQ PALMA PASTA CORP,2022/08/13
14.0,SQ FESTIVAL FOOD INC,2022/08/13
10.53,RCSS 1080,2022/08/13
9.03,NOFRILLS TOMMICHELLE,2022/08/14
23.63,PIZZA NOVA 065,2022/08/16
32.43,RCSS 1080,2022/08/16
63.29,WALMART STORE 3054,2022/08/16
48.32,ESSO CIRCLE K,2022/08/17
6.98,TIM HORTONS 3253,2022/08/18
45.76,SQ JOURNEYS CUISINE INC,2022/08/18
61.77,LOBLAW RCSS 1080,2022/08/18
24.98,METRO  854,2022/08/19
2.92,TIM HORTONS 4365,2022/08/20
12.29,BULK BARN 545 MISSISSA,2022/08/21
6.98,TIM HORTONS 1405,2022/08/22
36.3,ESSO CIRCLE K,2022/08/22
113.89,RCSS 1080,2022/08/23
6.98,TIM HORTONS 3253,2022/08/24
5.65,TORONTO DON VALLEY HOTEL,2022/08/24
15.99,METRO  854,2022/08/25
8.24,Subway 15423,2022/08/25
9.73,BULK BARN 545 MISSISSA,2022/08/25
65.08,RCSS 1080,2022/08/25
9.59,RCSS 1080,2022/08/26
35.0,BRADFORD HUSKY TC,2022/08/26
32.620000000000005,BK 24865,2022/08/26
21.04,COLLINS VALUMART 832,2022/08/27
5.0,GYPSY WHOLE FOODS WAREHOU,2022/08/27
19.5,LCBORAO 0232,2022/08/27
9.69,TIM HORTONS 3640,2022/08/29
49.13,ESSO CIRCLE K,2022/08/29
69.22,WALMART STORE 3054,2022/08/29
14.83,METRO  854,2022/08/30
31.08,PHO MI 289 VIETNAMESE RES,2022/08/31
64.44,RCSS 1080,2022/09/02
23.88,CHARLIES WEST,2022/09/03
7.25,MANILA BAKERYVARIETY,2022/09/03
58.0,DANFORTH FOOD MARKET,2022/09/03
16.94,CLORE BEAUTY SUPPLY,2022/09/03
58.45,RCSS 1080,2022/09/06
24.56,METRO  854,2022/09/06
40.69,ESSO CIRCLE K,2022/09/07
6.53,TIM HORTONS 3253,2022/09/07
2.0,AIR SERV A PS606645,2022/09/07
16.91,Subway 23972,2022/09/09
7.1,POPEYES 11615,2022/09/09
41.56,WALMART STORE 3054,2022/09/12
122.29,RCSS 1080,2022/09/12
11.52,Subway 13326,2022/09/13
2.92,TIM HORTONS 2987,2022/09/13
40.25,WALMART STORE 3054,2022/09/13
79.35,KID TO KID,2022/09/13
34.37,METRO  854,2022/09/15
136.72,RCSS 1080,2022/09/15
27.66,CDN TIRE STORE 00169,2022/09/17
47.98,ESSO CIRCLE K,2022/09/18
158.07999999999998,RCSS 1080,2022/09/18
